epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
21,6574.85,0.8123,2.70813,0.27129,0.40259,0.01394,1.81832,0.96668,0.965,0.9895,0.84382,0.83838,0.80171,0.76891,0.61973,0.65853,1.97045,0.10216,0.25252,0.01461,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,6889.43,0.79991,2.63762,0.26952,0.39675,0.01367,1.68917,0.96119,0.9657,0.98751,0.83808,0.8793,0.81879,0.83358,0.67872,0.67149,1.77373,0.10963,0.26502,0.0153,0,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,7200.6,0.79627,2.5989,0.26504,0.40021,0.01349,1.60178,0.96563,0.97082,0.98945,0.84358,0.85555,0.82375,0.81669,0.65893,0.66055,1.83857,0.09449,0.25036,0.01484,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,7512.4,0.79861,2.58481,0.26379,0.39381,0.01373,1.61362,0.96581,0.96473,0.9883,0.84016,0.85466,0.80247,0.78956,0.64006,0.66474,1.88942,0.09377,0.2568,0.01497,0,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,7824.32,0.79097,2.51511,0.26083,0.38691,0.01349,1.47696,0.97023,0.97184,0.99013,0.84886,0.874,0.83637,0.83324,0.67834,0.63915,1.72825,0.09502,0.23442,0.01434,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,8136.01,0.78655,2.52979,0.25926,0.39298,0.01341,1.48085,0.96766,0.97324,0.99036,0.85182,0.88979,0.84469,0.85436,0.69683,0.63816,1.61022,0.09606,0.23469,0.01418,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,8448.25,0.78201,2.43943,0.25723,0.37871,0.01333,1.34768,0.96545,0.97223,0.99023,0.8642,0.88812,0.84971,0.85475,0.70841,0.60106,1.56079,0.08574,0.2337,0.01315,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,8759.39,0.77505,2.45536,0.25383,0.38365,0.0132,1.35463,0.97224,0.97145,0.99035,0.86001,0.89529,0.83879,0.8533,0.70216,0.61592,1.60398,0.09933,0.23152,0.01377,0,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,9071.75,0.77928,2.42513,0.25252,0.38657,0.01323,1.32501,0.9607,0.96585,0.98883,0.83277,0.86875,0.82918,0.82958,0.68004,0.68876,1.7115,0.0873,0.25752,0.01542,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,9382.29,0.7687,2.39773,0.25011,0.39133,0.01306,1.29641,0.96876,0.96929,0.9897,0.86035,0.87938,0.83985,0.84174,0.69881,0.60425,1.63716,0.09156,0.23546,0.01358,0,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
