epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
22,5950.19,0.66384,3.02319,0.26051,0.40817,1.08574,0.96665,0.96777,0.98881,0.85855,0.86313,0.79597,0.79348,0.60821,0.59705,2.14513,0.05696,0.31991,1.00655,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,6223.39,0.66278,3.03529,0.25783,0.40845,1.08351,0.96662,0.97375,0.99014,0.86779,0.85056,0.80221,0.79132,0.61629,0.57346,2.13589,0.05918,0.30021,0.98845,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,6493.02,0.6622,3.00465,0.25519,0.4058,1.08713,0.97015,0.9763,0.99096,0.86864,0.86882,0.81407,0.81493,0.63466,0.57488,2.01224,0.05268,0.29731,0.99235,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,6764.24,0.65181,2.93767,0.25151,0.39872,1.07931,0.96757,0.974,0.99006,0.86789,0.86032,0.82575,0.81574,0.62893,0.57009,1.98072,0.04826,0.30044,0.98678,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,7032.42,0.65074,2.90867,0.24983,0.39888,1.07791,0.97477,0.97481,0.99105,0.87151,0.85172,0.81445,0.80041,0.62615,0.56737,2.03803,0.04905,0.29022,0.98407,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,7300.81,0.64834,2.87631,0.24726,0.39411,1.07825,0.9727,0.97162,0.99099,0.87328,0.87853,0.83043,0.83378,0.64537,0.55941,1.92661,0.049,0.29227,0.97648,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,7569.36,0.64517,2.84017,0.24337,0.39048,1.07801,0.97499,0.97369,0.99123,0.8736,0.87475,0.82507,0.82489,0.6554,0.55866,1.92668,0.04924,0.28823,0.97564,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,7842.28,0.64477,2.81679,0.24109,0.39065,1.0741,0.97625,0.97681,0.99155,0.87569,0.86235,0.8328,0.82153,0.64915,0.55415,1.93409,0.04832,0.28298,0.97674,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,8112.18,0.63787,2.7783,0.23802,0.38775,1.0721,0.9701,0.97286,0.9901,0.86502,0.86777,0.8221,0.81941,0.64046,0.58011,1.94001,0.04768,0.30214,1.00009,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,8380.39,0.63407,2.78814,0.23814,0.38648,1.07001,0.97473,0.97809,0.99163,0.87494,0.82434,0.80489,0.74252,0.58417,0.55849,2.1213,0.04217,0.27989,0.97543,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
