epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
22,5027.54,0.69377,3.27681,0.27691,0.43953,1.10714,0.96254,0.97043,0.98917,0.85318,0.83232,0.77456,0.76001,0.55656,0.61576,2.40347,0.05496,0.33384,1.01477,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,5257.6,0.69553,3.31368,0.27297,0.44277,1.1063,0.96093,0.97069,0.98954,0.84946,0.84713,0.78032,0.78032,0.58447,0.6225,2.27838,0.05574,0.32952,1.02291,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,5485.14,0.69615,3.26516,0.27137,0.43915,1.10984,0.96119,0.96896,0.98849,0.84757,0.84836,0.77456,0.77372,0.57616,0.62787,2.33411,0.05993,0.34583,1.02668,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,5712.53,0.68308,3.19338,0.26733,0.43137,1.10179,0.96872,0.96559,0.98871,0.85558,0.85247,0.77507,0.75998,0.56209,0.6017,2.28996,0.06197,0.32405,1.01366,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,5939.91,0.68332,3.1665,0.26464,0.4288,1.0993,0.96765,0.97158,0.99013,0.86064,0.86144,0.80617,0.80573,0.60705,0.59249,2.11015,0.05919,0.31218,1.00194,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,6167.45,0.67474,3.11206,0.26293,0.42289,1.09757,0.97316,0.9647,0.98991,0.85679,0.80248,0.74385,0.68056,0.51162,0.60675,2.54638,0.05406,0.31791,1.01175,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,6394.91,0.67508,3.11444,0.2586,0.4239,1.10022,0.97092,0.96712,0.98945,0.85847,0.83969,0.78163,0.76807,0.58368,0.60242,2.27245,0.06199,0.31806,1.0154,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,6623.05,0.67871,3.08328,0.25633,0.42493,1.09708,0.96835,0.97018,0.99003,0.85573,0.814,0.77265,0.71738,0.54804,0.62197,2.37842,0.05559,0.32585,1.01931,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,6848.6,0.67137,3.04062,0.25384,0.42031,1.09447,0.97068,0.97051,0.99005,0.86036,0.81883,0.77902,0.72156,0.53699,0.5935,2.3317,0.05381,0.30617,1.00756,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,7074.81,0.66781,3.03153,0.25261,0.41696,1.09175,0.97038,0.97591,0.99074,0.86225,0.86293,0.81268,0.80422,0.62351,0.58783,2.04756,0.05323,0.3048,1.00579,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,7300.79,0.66232,3.0074,0.25017,0.41477,1.08866,0.97257,0.97608,0.99063,0.86818,0.85929,0.81947,0.81223,0.63555,0.57201,2.00052,0.05715,0.3015,0.99073,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,7526.72,0.66276,2.99194,0.24845,0.4137,1.08892,0.97191,0.97286,0.9906,0.86552,0.8496,0.81942,0.80182,0.63332,0.57448,2.03591,0.04808,0.29852,0.992,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,7752.71,0.65322,2.95525,0.24618,0.40724,1.08491,0.96975,0.96852,0.98913,0.85876,0.86981,0.81139,0.8093,0.6402,0.5862,2.03591,0.06206,0.30536,1.00237,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,7978.64,0.6583,2.95847,0.24531,0.41302,1.08927,0.97168,0.97507,0.99095,0.86638,0.84958,0.81649,0.80024,0.63328,0.58032,2.05101,0.0485,0.29552,0.99313,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,8204.61,0.65806,2.94388,0.24209,0.40877,1.08488,0.97425,0.96896,0.99075,0.87115,0.86194,0.81585,0.80749,0.6404,0.5668,1.99606,0.05243,0.29762,0.98422,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,8430.48,0.65089,2.88876,0.24253,0.40362,1.08474,0.9677,0.97388,0.98995,0.87145,0.8594,0.81496,0.80045,0.64047,0.56477,1.99738,0.05547,0.29726,0.98656,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,8656.24,0.65364,2.90369,0.23976,0.40153,1.0821,0.97247,0.97692,0.99116,0.87145,0.84554,0.79215,0.76015,0.60425,0.56658,2.10912,0.05233,0.28422,0.9843,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
