epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
21,5737.79,0.86619,2.875,0.26325,0.44791,0.01513,2.13177,0.96578,0.96392,0.98845,0.82339,0.78458,0.75378,0.69662,0.54665,0.71395,2.3231,0.09775,0.28453,0.01622,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,6008.81,0.85646,2.83678,0.26283,0.43296,0.01484,2.02187,0.96283,0.9671,0.98745,0.83905,0.84433,0.80591,0.78075,0.62565,0.67134,1.94415,0.09759,0.27151,0.0152,0,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,6283.4,0.86107,2.8592,0.25964,0.43903,0.01486,2.00924,0.96374,0.95853,0.98743,0.81865,0.8525,0.81942,0.81072,0.63989,0.71881,1.92863,0.09052,0.28919,0.01655,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,6553.23,0.8595,2.80374,0.25784,0.43979,0.01505,1.97545,0.96225,0.96489,0.98775,0.83148,0.85757,0.82103,0.81531,0.65158,0.68827,1.82989,0.08657,0.28202,0.0157,0,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,6822.39,0.8452,2.76978,0.25582,0.43248,0.01464,1.88689,0.96423,0.96883,0.98878,0.82236,0.84792,0.80571,0.79263,0.6295,0.7054,1.94918,0.08703,0.27626,0.01604,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,7090.59,0.85045,2.76654,0.25421,0.42963,0.01481,1.89825,0.96565,0.95578,0.98744,0.82443,0.86024,0.81574,0.81415,0.65258,0.71906,1.89526,0.08452,0.2935,0.01612,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,7359.34,0.83952,2.68605,0.25231,0.42403,0.01459,1.77978,0.96312,0.96534,0.98875,0.82993,0.87402,0.8302,0.83727,0.67542,0.6857,1.74523,0.08257,0.26897,0.01587,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,7632,0.83997,2.68897,0.24878,0.42025,0.01463,1.76296,0.97038,0.96801,0.98934,0.84601,0.87064,0.81993,0.8199,0.65761,0.65103,1.81396,0.08127,0.2581,0.01454,0,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,7901.94,0.83838,2.65478,0.24792,0.42314,0.01448,1.66956,0.96655,0.9685,0.98894,0.83858,0.84581,0.82838,0.80907,0.65375,0.6746,1.8276,0.08128,0.26568,0.01547,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,8169.82,0.82935,2.60375,0.24628,0.41773,0.01436,1.6381,0.95996,0.9675,0.98839,0.84266,0.87367,0.82754,0.83742,0.68939,0.66056,1.70277,0.08436,0.26788,0.01503,0,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,8440.1,0.8236,2.62104,0.24542,0.41656,0.01421,1.61375,0.97081,0.96317,0.98935,0.83723,0.86537,0.82897,0.83108,0.68123,0.67981,1.74326,0.07704,0.25971,0.01526,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,8711.91,0.82033,2.58522,0.24341,0.41384,0.01415,1.54868,0.96457,0.96456,0.98901,0.84448,0.87483,0.82758,0.83014,0.67519,0.65668,1.71493,0.07902,0.26152,0.01486,0,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,8982.44,0.81791,2.57292,0.24251,0.41163,0.01413,1.54889,0.96288,0.97158,0.98859,0.84253,0.86977,0.83178,0.83275,0.6799,0.65496,1.70064,0.07492,0.25903,0.01476,0,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,9252.71,0.80848,2.53428,0.23959,0.39776,0.01396,1.50083,0.9732,0.9717,0.98992,0.85461,0.88055,0.85013,0.84967,0.69539,0.61883,1.58679,0.08325,0.24251,0.01369,0,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,9523.38,0.80973,2.51927,0.24053,0.40482,0.01394,1.4707,0.97272,0.96929,0.98931,0.85323,0.86478,0.84268,0.83588,0.69439,0.63653,1.67285,0.07564,0.2495,0.01426,0,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,9791.39,0.80865,2.50636,0.23712,0.40459,0.01386,1.39607,0.9681,0.96827,0.98949,0.85126,0.87647,0.84555,0.84561,0.69974,0.62944,1.60398,0.07647,0.25091,0.01404,0,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,10065.3,0.80724,2.45125,0.23874,0.40054,0.01394,1.35339,0.97042,0.97235,0.9898,0.85439,0.89148,0.85956,0.86298,0.70961,0.62646,1.53609,0.08303,0.24064,0.01407,0,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,10338.9,0.80114,2.44258,0.23608,0.39021,0.01371,1.25707,0.97144,0.96801,0.99038,0.85469,0.89046,0.84636,0.85436,0.70858,0.61667,1.57843,0.07933,0.2347,0.01375,0,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,10608.8,0.80198,2.4259,0.23505,0.3938,0.01383,1.28184,0.96855,0.97235,0.99008,0.86076,0.88731,0.84618,0.85134,0.71033,0.60613,1.56298,0.07753,0.23776,0.01336,0,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,10879.3,0.79524,2.40063,0.23618,0.38679,0.01367,1.23838,0.97154,0.96992,0.98991,0.86287,0.89531,0.86415,0.86508,0.72191,0.60323,1.49431,0.07424,0.23692,0.01335,0,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,11146.9,0.78924,2.38513,0.23405,0.38934,0.0135,1.20216,0.9704,0.97348,0.99008,0.86151,0.88641,0.85332,0.85871,0.71601,0.60994,1.53937,0.07423,0.23758,0.01335,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,11418.9,0.7837,2.36722,0.23261,0.38393,0.01337,1.15868,0.97052,0.97133,0.99066,0.86075,0.87935,0.85358,0.85225,0.71187,0.60365,1.55065,0.08158,0.2319,0.01334,0,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,11685.6,0.78675,2.37541,0.23136,0.38481,0.01341,1.15904,0.97137,0.97274,0.99019,0.8645,0.87471,0.85561,0.84879,0.71515,0.59855,1.54563,0.07801,0.22935,0.0131,0,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,11952.3,0.77397,2.30556,0.23008,0.38095,0.01327,1.0535,0.97637,0.97402,0.99119,0.86729,0.88652,0.8588,0.85573,0.71235,0.59111,1.52322,0.07314,0.22707,0.01301,0,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,12220.6,0.77632,2.31792,0.22981,0.37974,0.01329,1.06715,0.97813,0.97235,0.99092,0.86875,0.88662,0.8704,0.8671,0.72997,0.58994,1.47222,0.0712,0.22337,0.01305,0,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,12488,0.77711,2.31773,0.22847,0.38307,0.01329,1.01555,0.97414,0.97184,0.99089,0.87022,0.89044,0.85964,0.86561,0.73361,0.57882,1.46803,0.07222,0.22709,0.01272,0,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,12759.3,0.77252,2.26663,0.22776,0.36744,0.01316,0.97451,0.97203,0.97553,0.99121,0.87069,0.89211,0.85567,0.86498,0.73181,0.58472,1.47399,0.06976,0.21943,0.01296,0,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,13027.8,0.77155,2.24985,0.22699,0.37432,0.01313,0.92576,0.9778,0.97413,0.99108,0.87586,0.89012,0.87142,0.87313,0.73326,0.56284,1.44522,0.07254,0.21883,0.01222,0,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,13295.2,0.76094,2.23545,0.2264,0.36474,0.01289,0.86855,0.97465,0.97499,0.991,0.87433,0.89681,0.86581,0.86669,0.73428,0.56693,1.44176,0.07023,0.2157,0.0124,0,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,13565,0.76452,2.24206,0.22474,0.3709,0.01303,0.87543,0.97451,0.9744,0.99099,0.87754,0.87416,0.85872,0.85089,0.72717,0.56054,1.49243,0.0711,0.21436,0.01229,0,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,13833.8,0.75488,2.19641,0.22403,0.36409,0.01284,0.76177,0.97703,0.97502,0.99146,0.87789,0.88935,0.87067,0.8727,0.73989,0.55919,1.41075,0.06783,0.20885,0.01226,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,14102.2,0.75179,2.18443,0.2227,0.36309,0.01272,0.7765,0.97318,0.97587,0.99101,0.87291,0.89657,0.87333,0.87826,0.74557,0.56924,1.38811,0.06741,0.21509,0.01239,0,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,14373.9,0.75005,2.13725,0.22029,0.35578,0.01271,0.7198,0.97374,0.97799,0.99076,0.88055,0.89518,0.87371,0.87467,0.74112,0.55085,1.40499,0.06714,0.20894,0.01196,0,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,14649,0.74991,2.14542,0.21869,0.3586,0.01278,0.6873,0.97579,0.97974,0.99166,0.88129,0.90937,0.88097,0.88685,0.74768,0.5521,1.3507,0.0664,0.20479,0.01199,0,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,14917.7,0.74147,2.11984,0.21936,0.35737,0.01252,0.65204,0.97745,0.97788,0.99132,0.87877,0.90094,0.87855,0.87767,0.74414,0.5547,1.37389,0.06607,0.20751,0.01217,0,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,15187.5,0.74112,2.12646,0.21935,0.35124,0.01253,0.6376,0.98099,0.97314,0.99201,0.87896,0.89826,0.87761,0.87604,0.74607,0.5526,1.37302,0.06681,0.20511,0.01196,0,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,15455.6,0.74279,2.12553,0.21825,0.35914,0.01253,0.58526,0.97471,0.97808,0.99132,0.87992,0.90271,0.88225,0.88712,0.75135,0.54905,1.33105,0.06501,0.20711,0.01193,0,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,15722.9,0.73378,2.08542,0.2177,0.34635,0.01239,0.5453,0.98152,0.97446,0.99175,0.88269,0.90402,0.88824,0.88824,0.75502,0.54165,1.31804,0.06657,0.20205,0.01174,0,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,15993.8,0.7312,2.04702,0.21489,0.34688,0.01231,0.49861,0.97808,0.97591,0.99123,0.88154,0.90329,0.88709,0.88966,0.75596,0.5429,1.32146,0.06457,0.20364,0.01173,0,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,16262.8,0.7286,2.05532,0.21451,0.34776,0.01233,0.50783,0.97817,0.97641,0.99183,0.88441,0.90918,0.88314,0.88874,0.75575,0.53527,1.31773,0.06184,0.1988,0.01159,0,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,16530.6,0.72801,2.00855,0.21381,0.34058,0.01231,0.44511,0.97889,0.97488,0.99174,0.88564,0.90285,0.8799,0.88672,0.7562,0.53458,1.31926,0.06121,0.20024,0.01155,0,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,16800.2,0.72878,2.0689,0.21476,0.34758,0.01225,0.51129,0.9773,0.97451,0.99159,0.88487,0.90418,0.89343,0.89015,0.75752,0.53539,1.29923,0.06085,0.19915,0.01159,0,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,17068.5,0.72388,2.01467,0.21399,0.3434,0.01222,0.42776,0.97678,0.98121,0.99206,0.88553,0.91177,0.88107,0.8896,0.75778,0.53538,1.30088,0.06176,0.19372,0.01161,0,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,17335.3,0.72786,1.98996,0.21079,0.34566,0.01223,0.38173,0.97884,0.97867,0.99215,0.88711,0.91651,0.88553,0.89009,0.7591,0.52713,1.29128,0.06062,0.19558,0.0114,0,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,17601.7,0.72142,1.97906,0.21044,0.33883,0.01211,0.36445,0.97787,0.97969,0.99229,0.88757,0.91949,0.88747,0.8987,0.76117,0.52533,1.278,0.05888,0.19322,0.01135,0,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,17870.8,0.7253,1.98074,0.20939,0.33687,0.01225,0.339,0.97923,0.97951,0.99206,0.88749,0.91281,0.8862,0.89032,0.76066,0.52224,1.28822,0.0582,0.19374,0.01125,0,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,18139.1,0.7295,2.00239,0.20802,0.34179,0.01225,0.35572,0.98113,0.98082,0.99212,0.88847,0.91034,0.88543,0.89,0.76029,0.52289,1.29244,0.0581,0.19337,0.01127,0,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,18407.8,0.72177,1.97523,0.20665,0.33854,0.01213,0.36709,0.98202,0.97455,0.99196,0.88782,0.92574,0.88938,0.90166,0.76788,0.52571,1.2383,0.05733,0.19451,0.01134,0,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,18675.4,0.7155,1.93163,0.20476,0.33046,0.01201,0.30364,0.97998,0.97859,0.99202,0.88826,0.92797,0.89091,0.90189,0.76685,0.5215,1.23471,0.05547,0.19325,0.01123,0,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,18943.3,0.71277,1.92097,0.20472,0.33187,0.01195,0.22198,0.97986,0.97986,0.99206,0.88994,0.9138,0.9006,0.90177,0.76932,0.51731,1.23121,0.05589,0.19184,0.01112,0,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,19210.5,0.71411,1.91099,0.20126,0.3318,0.01187,0.24861,0.97934,0.9788,0.99204,0.89086,0.91918,0.89945,0.90226,0.77044,0.516,1.23246,0.05249,0.19061,0.01112,0,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,19481,0.71034,1.89796,0.20037,0.32866,0.0118,0.21422,0.97889,0.98119,0.99212,0.89121,0.92041,0.89767,0.90294,0.77089,0.51296,1.2242,0.05194,0.1888,0.01104,0,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,19748.3,0.70926,1.93023,0.20034,0.33469,0.0118,0.24032,0.97744,0.98127,0.9923,0.89174,0.91621,0.89639,0.90124,0.77,0.51026,1.23633,0.05203,0.1872,0.01098,0,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,20014.9,0.70714,1.88947,0.19786,0.32593,0.01182,0.19291,0.98239,0.97808,0.99236,0.8926,0.92112,0.89284,0.90107,0.76918,0.51319,1.24213,0.0511,0.1886,0.01109,0,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,20281.6,0.70552,1.90572,0.19605,0.3271,0.01175,0.23235,0.9807,0.97974,0.99216,0.89381,0.92051,0.89104,0.89991,0.76784,0.50693,1.24102,0.04933,0.1897,0.01086,0,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,20549.1,0.7006,1.85652,0.19473,0.31469,0.01175,0.16571,0.98101,0.9811,0.99263,0.89314,0.91741,0.89602,0.90133,0.76906,0.50694,1.24136,0.04844,0.18581,0.01085,0,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
